host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,f,t,Entire home,Entire home/apt,f,1,0.5,10,2946,5,5,5,4.8,5,4.8,5,2,1125,0.23
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.98,2,867,4.94,4.89,4.85,4.94,4.91,4.91,4.94,1,1125,1.18
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.99,6,1390,4.85,4.85,4.74,4.96,4.94,5,4.87,2,1125,1.12
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,1,8,1490,4.76,4.96,4.32,4.84,4.92,4.96,4.72,1,365,0.59
within an hour,f,t,Entire rental unit,Entire home/apt,f,0.99,0.99,2,2107,4.81,4.88,4.83,4.94,4.94,5,4.67,1,365,1.18
within an hour,f,t,Entire loft,Entire home/apt,t,1,1,3,859,4.71,4.87,4.91,4.9,4.86,4.82,4.73,1,1125,1.1
within a day,f,t,Entire rental unit,Entire home/apt,f,0.67,0.49,5,1900,4.8,4.8,4.9,4.93,4.8,5,4.87,2,30,0.72
within a few hours,f,t,Entire loft,Entire home/apt,f,1,0.17,1,1500,4.83,5,5,5,5,5,5,1,1125,0.14
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.9,2,2246,4.62,4.72,4.62,4.69,4.72,5,4.59,2,1125,0.73
within an hour,f,t,Private room in rental unit,Private room,t,1,0.99,2,389,4.63,4.68,4.74,4.79,4.79,4.68,4.63,3,10,0.89
within an hour,t,t,Private room in home,Private room,t,0.9,1,2,487,5,5,5,5,5,5,5,1,1125,0.16
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.66,16,522,4.82,4.87,4.85,4.96,4.94,4.85,4.81,1,1125,2.07
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,1541,5,4.33,5,4.33,5,5,5,1,365,0.59
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,1536,5,4.97,4.97,4.91,4.97,4.94,4.79,1,1000,0.79
within an hour,f,t,Private room in rental unit,Private room,f,1,0.99,2,389,4.93,5,4.8,4.87,5,4.8,4.87,3,10,0.36
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,0.99,4,724,4.49,4.6,4.66,4.76,4.75,4.91,4.46,1,1125,1.99
within an hour,f,t,Private room in rental unit,Private room,f,1,1,2,428,4.69,4.8,4.86,4.82,4.78,4.84,4.71,1,60,1.1
within an hour,t,t,Entire condo,Entire home/apt,f,1,1,6,1671,4.94,4.95,4.88,4.97,4.98,4.92,4.83,2,1125,1.53
within a day,t,t,Private room in condo,Private room,f,1,1,1,327,4.89,4.92,4.94,5,4.94,5,4.89,2,1125,0.84
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.66,16,464,4.9,4.85,4.94,4.95,4.84,4.78,4.89,1,1125,1.9
