host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,6,2073.61,4.49,4.57,4.31,4.89,4.8,4.92,4.55,2,1125,2.56
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,756.91,4.87,4.92,4.95,4.92,4.98,4.72,4.85,1,1125,2.57
within an hour,t,t,Entire rental unit,Entire home/apt,t,0.9,1,6,2310,4.84,4.83,4.7,4.97,4.93,4.73,4.83,3,1125,2.14
within an hour,f,t,Camper/RV,Entire home/apt,t,1,1,3,808.5,4.98,4.92,4.9,5,5,4.92,4.98,2,60,1.11
within an hour,t,t,Entire serviced apartment,Entire home/apt,t,1,1,6,2486.33,4.89,4.89,4.89,4.89,4.67,4.89,4.78,3,99,0.19
within an hour,f,t,Entire rental unit,Entire home/apt,t,0.98,1,12,3226.3,4.53,4.56,4.35,4.81,4.77,4.59,4.62,2,1125,2.63
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,3,484.33,4.49,4.59,4.74,4.69,4.49,4.74,4.62,2,90,0.82
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.9,3,2022.02,5,5,5,5,5,5,5,2,1125,0.02
within an hour,f,t,Entire serviced apartment,Entire home/apt,f,1,0.33,4,1839.53,5,5,5,5,5,5,5,2,1125,0.04
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,4,1971.97,4.7,4.73,4.64,4.93,4.77,4.93,4.71,2,1125,1.69
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,4,1821.82,4.7,4.8,4.7,4.8,4.8,4.8,4.7,3,1125,1.3
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,2,1184.26,5,5,5,5,5,5,5,3,1125,0.05
Desconocido,f,t,Entire rental unit,Entire home/apt,f,1,0.9,4,1639.33,5,5,5,4.86,5,5,4.71,3,1125,0.14
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,2,1456.84,5,5,5,5,5,5,5,3,1125,0.02
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,2,1365.98,4.7,4.8,4.7,4.8,4.8,4.8,4.7,3,1125,1.3
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,2206.82,4.87,4.9,4.76,4.96,4.94,4.95,4.85,1,1125,1.3
Desconocido,f,t,Entire rental unit,Entire home/apt,f,1,0,4,1155,4.7,4.8,4.7,4.8,4.8,4.8,4.7,2,1125,1.3
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1298.22,4.91,4.85,4.89,4.91,4.91,4.91,4.74,2,1125,2.46
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,6,2423.19,4.47,4.55,4.5,4.74,4.66,4.63,4.5,1,90,0.77
within an hour,t,t,Entire loft,Entire home/apt,t,1,0.99,4,4129.51,5,5,5,5,5,5,5,1,1125,1.62
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,4,4383.61,4.87,4.87,4.87,5,4.6,5,4.93,1,1125,0.63
within a day,f,t,Entire rental unit,Entire home/apt,f,0.8,0.71,7,2714.25,4.68,4.72,4.49,4.87,4.89,4.79,4.66,2,1125,0.96
within an hour,Desconocido,t,Private room in rental unit,Private room,f,1,0.83,1,5542.46,4.93,4.93,4.53,4.87,4.93,4.93,4.73,2,90,0.93
within an hour,f,t,Room in hotel,Hotel room,t,1,0.86,1,987.14,4.61,4.76,4.65,4.78,4.71,4.48,4.62,3,999,1.8
within an hour,f,t,Room in hotel,Hotel room,t,1,0.86,2,1375.99,4.62,4.64,4.66,4.86,4.79,4.47,4.62,3,999,1.3
within an hour,Desconocido,t,Entire rental unit,Entire home/apt,f,1,0.92,4,1562.33,4.71,4.82,4.88,4.65,4.88,4.74,4.68,2,14,0.72
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,6,2773.54,4.76,4.76,4.64,4.88,4.94,4.96,4.73,1,1125,5.02
within an hour,f,t,Entire condo,Entire home/apt,t,1,0.99,4,1235.85,4.68,4.77,4.55,4.64,4.82,4.91,4.77,1,1125,3.89
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,952.49,4.57,4.66,4.84,4.82,4.87,4.88,4.43,3,990,1.38
