host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,10,5989.13,5,5,5,5,5,5,5,28,730,0.7
within an hour,t,t,Private room in condo,Private room,t,1,1,1,1264.23,4.84,4.72,4.71,4.97,4.96,4.53,4.78,28,1125,0.86
a few days or more,f,f,Private room in rental unit,Private room,f,0,0.9,2,1289.77,4.84,4.81,4.89,4.87,4.9,4.92,4.83,28,365,0.99
within an hour,t,t,Entire home,Entire home/apt,f,1,1,5,1787.8,4.76,4.65,4.71,4.97,4.95,4.67,4.72,28,1125,0.5
Desconocido,f,f,Private room in rental unit,Private room,f,0.9,0.9,1,1787.8,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0.21,4,2311.37,4.78,4.78,4.78,4.63,4.75,4.85,4.65,28,1125,0.27
within a day,f,t,Entire home,Entire home/apt,f,0.9,0.7,7,4086.4,4.56,4.53,4.53,4.91,4.94,5,4.56,28,1125,0.43
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,1,1,574.65,4.92,5,4.83,5,5,4.83,4.83,28,365,0.7
a few days or more,f,f,Entire rental unit,Entire home/apt,f,0,0.9,2,1711.18,5,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
Desconocido,f,t,Entire loft,Entire home/apt,f,0.9,0.9,2,4609.97,4.89,5,4.78,4.78,4.89,4.56,4.44,28,112,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.89,2,1711.18,4.87,4.89,4.91,4.92,4.89,4.9,4.74,28,27,0.95
within an hour,t,t,Entire home,Entire home/apt,f,1,1,5,1915.5,4.64,4.65,4.67,4.95,4.96,4.58,4.69,31,365,0.73
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,1,1,1149.3,4.6,4.8,4,4.8,4.4,4.8,4.4,28,90,0.7
within an hour,Desconocido,t,Private room in rental unit,Private room,f,1,0.93,1,702.35,4.33,4,4,4.33,4.67,4.33,4.67,28,1125,0.7
within a day,f,t,Entire condo,Entire home/apt,f,0.9,0.43,4,1979.35,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within an hour,t,t,Entire home,Entire home/apt,f,1,1,4,2426.3,4.95,4.95,4.98,4.98,4.97,4.84,4.89,28,31,0.8
Desconocido,f,t,Private room in townhouse,Private room,f,0.9,0.9,2,766.2,4.83,4.89,4.62,4.95,4.96,4.76,4.88,28,1125,0.7
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,0.72,2,1787.8,4.17,4.51,4.02,4.78,4.83,4.95,4.22,28,365,0.42
within a few hours,f,t,Private room in rental unit,Private room,f,1,0.72,2,1277,4.8,4.8,4.4,4.8,4.8,4.8,4.6,28,1000,0.7
within a few hours,f,t,Private room in rental unit,Private room,f,1,0.72,2,1213.15,4,4.5,4,4.38,4.75,4.75,4.13,30,1000,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0.72,3,1864.42,4.14,4.51,3.93,4.63,4.68,4.91,4.19,28,1100,0.54
within a few hours,f,t,Private room in rental unit,Private room,f,1,0.72,2,1149.3,4.39,4.26,3.89,4.47,4.79,4.84,4.21,28,1125,0.7
within an hour,f,t,Private room in home,Private room,f,1,0.87,1,383.1,4.21,4.59,3.95,4.69,4.51,4.38,4.41,28,1125,0.33
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0.72,3,1915.5,4.61,4.79,4.41,4.79,4.85,4.93,4.51,28,1100,0.37
Desconocido,f,t,Private room in condo,Private room,f,0.9,0.9,2,702.35,4.88,4.96,5,4.88,5,4.92,4.83,28,125,0.28
within an hour,t,t,Entire loft,Entire home/apt,f,1,1,2,3550.06,4.62,4.71,4.22,4.75,4.93,4.88,4.64,28,7,0.59
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.59,2,1072.68,4.62,4.56,4.67,4.87,4.93,4.53,4.69,28,1125,0.34
within an hour,Desconocido,t,Private room in home,Private room,f,1,0.93,1,638.5,4.56,4.69,4.25,4.88,4.63,4.94,4.38,30,1125,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.83,1,446.95,4.89,4.89,4.89,4.89,4.89,4.78,4.89,30,1125,0.7
within an hour,Desconocido,t,Private room in home,Private room,f,1,0.93,1,638.5,4.8,4.76,4.57,4.9,4.9,4.86,4.67,28,1125,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0.9,3,3831,4.88,5,5,5,4.86,4.86,3.71,28,365,0.7
within an hour,Desconocido,t,Private room in home,Private room,f,1,0.93,1,766.2,4.8,4.9,4.73,4.42,4.91,4.83,4.45,28,400,0.7
within an hour,f,t,Private room in rental unit,Private room,f,1,0.5,2,702.35,4.74,4.82,4.5,4.91,4.88,4.41,4.56,28,1125,0.25
within an hour,t,t,Entire loft,Entire home/apt,f,1,1,2,5095.23,4.96,4.92,4.94,4.92,4.92,4.9,4.75,28,120,0.53
within an hour,f,t,Entire guest suite,Entire home/apt,f,1,1,2,1468.55,4.85,4.94,4.9,4.99,4.99,4.65,4.82,28,180,0.74
within an hour,Desconocido,t,Private room in home,Private room,f,1,0.93,1,510.8,5,5,5,5,5,5,5,28,365,0.7
within an hour,Desconocido,t,Private room in home,Private room,f,1,0.93,2,766.2,4.55,4.83,4.5,5,4.92,4.75,4.33,28,400,0.7
a few days or more,f,t,Entire rental unit,Entire home/apt,f,0,0.9,2,1353.62,4.77,4.88,4.64,4.97,4.93,4.86,4.75,29,365,0.87
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,0.72,3,2043.2,4.53,4.65,4.15,4.8,4.8,4.9,4.45,30,1100,0.7
Desconocido,t,t,Entire townhouse,Entire home/apt,f,0.9,0.88,5,3435.13,4.95,4.93,4.93,4.98,4.97,4.98,4.94,28,30,0.7
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,1,2,906.67,4.83,4.84,4.92,4.9,4.95,4.67,4.8,31,1125,0.7
Desconocido,f,f,Entire rental unit,Entire home/apt,f,0.9,0,2,715.12,4.92,4.67,4.58,4.83,5,4.92,4.83,28,1125,0.7
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.33,5,3831,4.94,4.92,4.91,4.94,4.96,4.88,4.83,28,1124,0.59
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0,2,1340.85,4.58,4.74,4.68,4.71,4.74,4.91,4.79,30,1000,0.26
within an hour,t,t,Entire home,Entire home/apt,f,1,1,2,1443.01,4.82,4.71,4.86,4.99,4.95,4.53,4.78,28,180,0.55
within a few hours,f,t,Entire rental unit,Entire home/apt,f,0.86,0,2,1379.16,3.8,4.5,5,4.67,4.17,4.17,3.83,28,180,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.6,2,932.21,4.55,4.45,4.36,4.45,4.36,4.82,4.64,28,500,0.7
within a day,t,t,Entire loft,Entire home/apt,f,1,0.74,3,4967.53,4.94,4.92,4.85,4.92,4.97,4.88,4.83,28,26,0.5
Desconocido,f,f,Entire condo,Entire home/apt,f,0.9,0.9,4,1021.6,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,31,0.7
within a day,f,t,Entire home,Entire home/apt,f,1,0,7,3767.15,4.76,4.83,4.5,4.78,4.83,4.78,4.39,28,1125,0.7
within a few hours,f,t,Entire rental unit,Entire home/apt,f,0.74,0.98,4,2796.63,4.93,4.93,4.88,4.78,4.9,4.93,4.83,28,1125,0.43
within an hour,f,t,Entire condo,Entire home/apt,f,1,0.88,4,2886.02,4.86,4.91,4.69,4.88,4.93,4.92,4.77,28,1125,0.7
Desconocido,f,t,Entire loft,Entire home/apt,f,0.9,0.9,2,1085.45,4.7,4.78,4.84,4.9,4.88,4.88,4.66,28,365,0.38
Desconocido,f,f,Private room in rental unit,Private room,f,0.9,0.9,2,2554,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,1125,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,2,2541.23,4.7,4.9,3.7,5,4.6,5,4.6,28,31,0.7
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,1,3,1838.88,4.93,4.88,4.98,4.99,4.98,4.77,4.82,28,28,0.89
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,6,1149.3,5,5,5,5,5,4.5,4.5,28,1125,0.7
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.59,7,2924.33,4.38,4.79,4.34,4.86,4.86,4.41,4.55,28,1125,0.24
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,0.86,2,1123.76,4.93,4.93,4.98,4.98,4.98,4.93,4.89,28,365,0.53
within an hour,t,t,Entire home,Entire home/apt,f,1,0.78,4,3831,4.76,4.81,4.48,4.95,4.95,4.62,4.7,28,1125,0.7
within an hour,f,t,Entire condo,Entire home/apt,f,1,1,2,1519.63,4.84,4.81,4.83,4.86,4.88,4.94,4.75,28,1125,0.64
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.9,2,2554,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,366,0.7
within a day,t,t,Private room in home,Private room,f,1,1,2,957.75,4.83,4.91,4.77,5,4.89,5,4.63,28,162,0.35
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,3,1468.55,4.86,4.83,4.83,5,4.83,5,4.83,28,30,0.7
a few days or more,f,t,Private room in home,Private room,f,0,0,2,1072.68,4.67,4.61,4.84,4.87,4.81,4.54,4.54,28,30,0.3
within a few hours,t,t,Entire condo,Entire home/apt,f,0.9,0.83,3,4150.25,4.93,4.96,4.75,4.89,4.9,4.82,4.83,28,365,0.52
within a day,t,t,Private room in home,Private room,f,1,0.75,1,510.8,4.81,4.93,4.63,4.96,4.96,4.52,4.89,28,100,0.22
Desconocido,f,f,Entire rental unit,Entire home/apt,f,0.9,0.9,1,5746.5,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,1125,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.83,1,472.49,5,4.95,4.86,5,4.95,4.86,4.95,30,1125,0.19
within an hour,f,t,Entire condo,Entire home/apt,f,1,0.9,2,2107.05,4.8,5,4.6,4.8,5,5,4.8,28,365,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.83,1,510.8,4.89,4.89,4.89,5,5,4.44,4.89,28,1125,0.7
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.88,2,1085.45,4.74,4.82,4.24,4.82,4.88,4.94,4.68,28,365,0.27
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,5,1213.15,4.22,4.33,4.33,4.89,4.89,4.11,4.67,28,60,0.7
within an hour,f,t,Private room in home,Private room,f,1,1,2,561.88,4.12,4.36,4.09,4.63,4.72,4.14,4.51,29,1125,0.33
within an hour,f,t,Entire home,Entire home/apt,f,1,1,3,689.58,4.66,4.68,4.64,4.85,4.8,4.53,4.64,28,90,0.71
within a day,f,f,Private room in rental unit,Private room,f,1,0.75,1,766.2,4.94,4.88,4.76,4.94,5,5,4.94,28,90,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.9,2,3831,4.69,4.82,4.72,4.75,4.82,4.95,4.52,28,30,0.56
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.9,2,1340.85,5,5,5,5,5,5,5,30,182,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,2,830.05,4,4.33,4,5,4.67,4.33,3.67,28,1125,0.7
a few days or more,f,f,Entire guest suite,Entire home/apt,f,0,0,2,1532.4,4.75,5,4.75,4.75,5,5,4.75,28,1125,0.7
Desconocido,f,f,Entire rental unit,Entire home/apt,f,0.9,0.9,5,983.29,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within a day,f,t,Entire home,Entire home/apt,f,1,1,8,2426.3,4.94,4.94,4.88,5,5,4.75,4.94,28,100,0.7
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.9,1,2285.83,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,2,1085.45,4.81,4.92,4.81,4.81,4.88,4.85,4.65,28,365,0.22
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.59,2,1059.91,4.57,4.71,4.38,4.93,4.93,4.4,4.53,28,1125,0.38
within a day,f,t,Entire home,Entire home/apt,f,0.7,0.45,6,3192.5,4.74,4.91,4.82,4.94,4.74,4.79,4.88,28,365,0.28
Desconocido,f,f,Entire rental unit,Entire home/apt,f,0.9,0.9,2,2873.25,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,150,0.7
within a few hours,f,t,Private room in home,Private room,f,1,0.82,1,421.41,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,150,0.7
a few days or more,f,f,Entire home,Entire home/apt,f,0.2,0,2,1213.15,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
Desconocido,f,t,Entire loft,Entire home/apt,t,0.9,0.9,2,1277,5,5,4.86,4.86,4.79,4.86,4.93,28,31,0.7
within an hour,f,t,Entire condo,Entire home/apt,f,1,0.75,2,1085.45,4.97,4.92,4.86,4.97,4.98,4.98,4.86,28,1124,0.47
Desconocido,f,t,Private room in home,Private room,f,0.9,0.5,1,395.87,5,4.97,4.78,4.97,5,4.94,4.92,28,1125,0.28
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,4,1838.88,4.47,4.67,4.72,4.89,4.67,4.94,4.28,28,500,0.7
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,8,3320.2,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,50,0.7
within an hour,f,t,Private room in home,Private room,f,1,0.86,3,1596.25,4.56,4.59,4.54,4.8,4.83,4.88,4.71,28,1125,0.52
within an hour,f,t,Entire home,Entire home/apt,f,1,1,7,2490.15,4.83,4.87,4.74,4.91,4.96,4.96,4.61,30,730,0.21
within an hour,t,t,Private room in guest suite,Private room,f,1,1,2,1340.85,4.76,4.88,4.67,4.89,4.91,4.8,4.69,28,90,0.87
within an hour,f,t,Entire home,Entire home/apt,f,1,1,5,2170.9,4.25,4.75,4.75,5,5,4.75,4.5,31,1125,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.9,2,893.9,4.92,4.94,4.91,4.92,4.96,5,4.94,28,365,0.7
within a few hours,f,t,Entire home,Entire home/apt,f,1,0.6,7,6193.45,5,5,4.86,5,5,5,4.64,28,28,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.97,1,1328.08,4.91,4.91,4.92,4.9,4.92,4.89,4.82,28,180,0.83
within an hour,t,t,Private room in home,Private room,f,1,0.66,1,1008.83,4.67,4.33,4.5,5,5,4.83,4.67,28,1125,0.7
a few days or more,f,t,Entire condo,Entire home/apt,f,0,0,2,1851.65,4,4.6,4,4.6,4.4,4.2,4,28,365,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,1,1775.03,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,60,0.7
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,2,1277,5,4.93,4.93,4.93,5,4.92,4.92,30,90,0.19
within a few hours,t,t,Entire guesthouse,Entire home/apt,f,0.97,0.78,2,1468.55,4.64,4.73,4.7,4.79,4.85,4.94,4.48,30,360,0.3
within a day,t,t,Private room in home,Private room,f,1,1,2,766.2,4.96,4.98,4.98,4.98,4.98,4.97,4.96,28,100,0.7
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,2,996.06,4.61,4.82,4.82,4.91,4.94,4,4.45,30,1125,0.26
within a few hours,f,t,Entire guest suite,Entire home/apt,f,1,0.67,1,1660.1,4.66,4.82,4.85,4.84,4.81,4.6,4.73,30,1125,0.7
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,7,6857.49,3,4,4.5,2,4,3,1,28,180,0.7
within an hour,t,t,Entire serviced apartment,Entire home/apt,t,1,1,5,8389.89,4.94,4.93,4.87,4.94,4.96,4.93,4.74,30,365,0.68
within an hour,t,t,Private room in rental unit,Private room,f,1,0.96,2,868.36,4.85,4.84,4.87,4.88,4.91,4.82,4.82,28,1125,0.7
a few days or more,f,t,Entire home,Entire home/apt,f,0,0.9,7,5567.72,4.85,4.62,4.69,4.77,4.77,4.77,4.62,28,365,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.2,2,1187.61,4.85,4.81,4.96,4.92,4.88,5,4.85,30,460,0.3
Desconocido,f,f,Entire home,Entire home/apt,f,0.9,0,6,5108,5,5,5,5,5,5,5,28,1125,0.7
within a day,f,t,Entire rental unit,Entire home/apt,f,0.86,0.5,2,1149.3,5,5,5,5,5,5,5,30,180,0.7
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.59,2,1123.76,4.62,4.63,4.52,4.92,4.9,4.56,4.63,28,1125,0.39
within an hour,t,t,Private room in condo,Private room,t,1,1,2,2566.77,4.95,4.93,4.74,4.97,4.99,4.96,4.91,28,14,0.7
within an hour,f,t,Entire condo,Entire home/apt,f,1,1,2,1519.63,4.33,4.17,4.17,4.17,4.33,4.67,4,28,1125,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,3,1660.1,4.25,4.75,3.25,5,5,5,4.75,28,30,0.7
within a few hours,t,t,Entire rental unit,Entire home/apt,f,1,0.6,2,1391.93,4.77,4.92,4.9,4.95,4.97,4.87,4.59,28,150,0.36
within a few hours,t,t,Entire condo,Entire home/apt,f,1,0.86,2,4099.17,4.92,4.93,4.79,4.95,4.99,4.98,4.9,28,28,1.14
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,5,1596.25,4.8,4.93,4.83,4.87,4.96,4.76,4.81,28,1125,0.47
Desconocido,f,t,Private room in home,Private room,f,0.9,0.9,2,2055.97,4.91,4.86,4.84,4.95,4.95,4.89,4.84,28,1125,0.75
within a day,f,t,Entire guest suite,Entire home/apt,f,0.67,0.83,2,1085.45,4.62,4.77,4.72,4.97,4.9,4.74,4.59,28,1125,0.33
within a few hours,f,f,Entire loft,Entire home/apt,f,1,0.81,1,3307.43,4.78,4.89,4.89,4.56,4.78,4.78,4.67,28,1125,0.7
within a few hours,f,t,Entire home,Entire home/apt,f,1,0,4,2873.25,4.83,5,5,5,4.83,4.83,4.83,28,30,0.7
within an hour,t,t,Private room in home,Private room,f,0.98,1,1,1162.07,4.83,4.89,4.83,4.93,4.91,4.86,4.8,28,1125,0.7
within a few hours,f,t,Entire serviced apartment,Entire home/apt,f,1,0.9,4,4788.75,5,4.5,5,5,4.5,5,4,30,999,0.7
within an hour,f,t,Entire guest suite,Entire home/apt,f,1,0.69,3,1404.7,4.72,4.66,4.61,4.92,4.92,4.89,4.68,28,365,0.3
within an hour,f,t,Entire home,Entire home/apt,f,1,1,4,2043.2,5,4.89,4.78,5,5,4.78,4.67,29,1125,0.19
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,9,12680.61,4.88,4.86,4.57,4.86,4.86,5,4.86,28,60,0.7
within a day,f,t,Entire loft,Entire home/apt,f,1,0.82,2,3256.35,4.93,4.89,4.75,4.96,4.96,4.75,4.71,31,365,0.33
Desconocido,f,t,Private room in home,Private room,f,0.9,0.9,2,1085.45,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,1125,0.7
within a few hours,t,t,Private room in guest suite,Private room,f,1,0.92,2,2311.37,4.91,4.9,4.89,4.96,4.97,4.95,4.84,28,30,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,2,1391.93,4.45,4.52,3.9,4.67,4.71,4.81,4.33,28,30,0.7
Desconocido,f,t,Shared room in rental unit,Shared room,f,0.9,0.9,1,970.52,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,1125,0.7
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0,5,2043.2,4.33,4.8,4.8,5,4.83,4.2,4.4,28,1125,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,1,3,1800.57,4.73,4.71,4.68,4.88,4.95,4.9,4.66,28,365,0.87
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.9,4,2375.22,4.64,4.77,4.39,4.8,4.89,4.92,4.67,28,120,0.7
within an hour,f,t,Private room in condo,Private room,f,1,0.5,1,1149.3,4.89,4.89,4.93,4.89,4.92,4.85,4.84,28,50,1.07
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.59,2,1098.22,4.74,4.9,4.87,4.94,5,4.65,4.84,28,1125,0.26
within a few hours,f,t,Entire home,Entire home/apt,f,0.9,0.9,6,3511.75,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,1125,0.7
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.88,2,2502.92,4.85,4.85,4.92,4.69,4.92,4.85,4.85,28,1124,0.7
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.59,2,1110.99,4.59,4.65,4.68,4.91,4.94,4.35,4.5,28,365,0.28
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.9,2,1110.99,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,1125,0.7
a few days or more,f,t,Private room in home,Private room,f,0,0,1,638.5,4.78,4.91,4.48,4.91,4.83,4.87,4.74,28,1125,0.2
within a few hours,t,t,Private room in home,Private room,f,1,0.75,1,1941.04,4.71,4.9,4.57,4.95,4.86,4.9,4.76,28,30,0.7
within an hour,f,t,Entire home,Entire home/apt,f,1,0.8,7,4111.94,4.57,4.86,4.43,4.86,5,4.86,4.86,28,28,0.7
within a few hours,f,t,Entire guest suite,Entire home/apt,f,1,0.97,4,1609.02,4.41,4.53,4.1,4.87,4.84,4.79,4.55,28,180,0.54
Desconocido,f,t,Entire loft,Entire home/apt,f,0.9,0.9,4,6321.15,4.91,4.95,4.76,4.91,4.98,4.98,4.84,28,90,0.7
within an hour,f,t,Private room in townhouse,Private room,f,0.94,0.8,2,1123.76,5,5,5,5,5,5,5,28,26,1
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,5,3128.65,4.54,4.52,4.78,4.91,4.83,4.79,4.26,28,1125,0.22
within an hour,f,t,Private room in home,Private room,f,1,0,1,574.65,4.8,4.9,4.72,4.97,4.99,4.86,4.83,40,1125,0.61
Desconocido,f,f,Private room in tiny home,Private room,f,0.9,0.9,1,893.9,4.84,4.88,4.65,4.87,4.94,4.67,4.84,28,60,0.7
within a few hours,t,t,Private room in rental unit,Private room,f,1,0.75,2,2030.43,4.68,4.76,4.28,4.72,4.68,4.8,4.44,28,30,0.2
within a few hours,f,t,Entire loft,Entire home/apt,f,0.9,0.46,3,2119.82,4.73,4.78,4.61,4.84,4.87,4.94,4.83,28,30,1.01
within an hour,t,t,Entire loft,Entire home/apt,f,1,0.96,2,2043.2,5,5,5,4.89,5,4.78,4.89,28,1125,0.7
within an hour,f,t,Private room in home,Private room,f,1,0.87,1,638.5,4.72,4.78,4.34,4.91,4.78,4.78,4.75,28,1125,0.25
within a few hours,f,t,Entire condo,Entire home/apt,f,1,1,2,1800.57,4.77,4.81,4.69,4.81,4.79,4.83,4.63,29,999,0.5
Desconocido,f,f,Entire rental unit,Entire home/apt,f,0.9,0.9,2,1277,4.25,4.75,3.75,4.75,5,4.75,4,28,1125,0.7
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,2,1021.6,4.74,4.78,4.59,4.88,4.78,4.81,4.63,30,1125,0.26
within an hour,t,t,Private room in rental unit,Private room,f,1,0.83,1,1213.15,4.91,4.95,4.95,4.95,4.82,4.95,4.86,30,180,0.7
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.9,3,2822.17,4.96,4.89,4.95,5,4.97,4.93,4.77,28,1125,0.56
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.88,2,766.2,4.55,4.45,4.64,4.36,4.55,4.64,4.45,28,1124,0.7
within a day,t,t,Entire condo,Entire home/apt,f,1,0.86,4,1519.63,4.65,4.72,4.75,4.41,4.54,4.96,4.71,28,365,0.58
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,8,4852.6,4.25,5,4.5,4.75,5,5,4.25,28,30,0.7
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.9,2,1532.4,4.9,4.91,4.92,4.98,4.98,4.97,4.76,28,1124,0.83
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.4,1,2043.2,4.75,4.64,4.61,4.82,4.93,4.83,4.69,28,1125,0.24
within an hour,f,t,Entire home,Entire home/apt,f,1,0.91,4,1340.85,5,4.9,4.87,5,4.97,4.93,4.9,28,180,0.28
a few days or more,f,f,Private room in home,Private room,f,0,0,2,830.05,4.27,4.48,4.38,4.9,4.8,4.85,4.65,28,30,0.19
within a few hours,f,f,Private room in guest suite,Private room,f,1,0.93,3,855.59,4.7,4.73,4.64,4.73,4.85,4.52,4.63,29,460,0.92
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,4,6372.23,4.67,4.8,4.27,5,5,5,4.64,28,365,0.7
within a day,f,t,Entire condo,Entire home/apt,f,0.67,0.67,2,1468.55,4.91,4.91,4.55,4.91,5,4.82,4.73,28,1125,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,2,574.65,4.85,4.93,4.85,4.97,4.92,4.93,4.8,28,1125,1.01
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.94,4,3575.6,4.85,4.91,4.75,4.88,4.95,4.96,4.78,28,28,1.01
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.9,1,383.1,5,5,4.5,5,5,5,4.5,28,1125,0.7
within an hour,t,t,Private room in cottage,Private room,f,1,1,2,1391.93,4.95,4.97,4.94,4.97,4.96,4.92,4.93,28,14,0.7
within an hour,f,t,Private room in home,Private room,f,1,0.86,3,1647.33,4.63,4.65,4.72,4.8,4.74,4.95,4.7,28,1125,0.78
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,4,3141.42,4.94,4.96,4.96,4.96,5,4.94,4.96,28,1125,0.48
within an hour,f,t,Entire rental unit,Entire home/apt,t,0.93,0.87,8,3639.45,4.56,4.59,4.62,4.76,4.76,4.7,4.46,28,1125,0.31
within an hour,f,t,Entire home,Entire home/apt,f,1,1,4,1838.88,4.59,4.67,4.67,4.88,4.78,4.88,4.06,30,1125,0.7
within an hour,f,t,Entire condo,Entire home/apt,f,1,0.85,2,1660.1,4.42,4.59,4.32,4.65,4.68,4.97,4.57,28,1125,0.31
within a day,f,t,Entire condo,Entire home/apt,f,1,0.5,2,1289.77,4.83,5,4.5,4.75,5,4.92,4.75,30,1125,0.7
within an hour,f,t,Private room in rental unit,Private room,f,0.93,0.87,2,1162.07,5,4.85,4.92,5,5,4.85,4.69,28,1125,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.75,4,1328.08,4.66,4.61,4.46,4.82,4.9,4.84,4.57,28,100,0.7
within an hour,t,t,Private room in home,Private room,f,0.98,1,1,1213.15,4.78,4.87,4.78,4.92,4.9,4.87,4.79,28,1125,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.9,4,4086.4,4.92,4.88,4.88,4.96,4.96,4.96,4.69,28,1125,0.6
a few days or more,f,t,Entire home,Entire home/apt,f,0,1,5,2554,4.89,4.92,4.81,4.95,5,4.81,4.89,28,60,0.38
within a few hours,t,t,Entire home,Entire home/apt,f,1,0.91,2,2911.56,4.98,5,5,4.98,5,4.96,4.9,28,365,0.7
