host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within a few hours,t,t,Entire condo,Entire home/apt,f,1,0.75,3,4226.87,4.94,5,4.82,4.97,4.97,4.97,4.85,28,160,0.7
within an hour,t,t,Entire home,Entire home/apt,f,1,0.99,2,1200.38,5,5,5,5,5,4.75,5,28,1125,0.22
within an hour,f,t,Entire rental unit,Entire home/apt,f,0.93,0.87,4,1902.73,4.67,4.75,4.83,4.92,4.92,4.67,4.33,28,1125,0.61
within an hour,t,t,Entire loft,Entire home/apt,f,1,1,3,5491.1,4.87,4.91,4.89,4.96,4.93,4.93,4.61,28,365,0.7
within an hour,f,t,Entire condo,Entire home/apt,f,1,1,3,1430.24,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,29,0.7
within an hour,f,t,Private room in home,Private room,f,1,0.89,2,459.72,4.5,4.5,4.67,5,4.83,4.33,4.5,28,1125,0.32
within an hour,t,t,Private room in home,Private room,f,1,0.99,2,1992.12,4.9,4.93,4.96,4.96,4.96,4.76,4.62,28,1125,0.7
within an hour,t,t,Entire home,Entire home/apt,f,1,0.89,2,2554,4.67,4.67,4.67,5,4.67,4.33,4.33,28,1125,0.34
within an hour,t,t,Private room in home,Private room,f,1,0.99,2,1532.4,4.95,4.94,4.95,4.96,4.94,4.86,4.86,28,1125,0.7
within a few hours,t,t,Entire condo,Entire home/apt,f,1,0.91,2,2285.83,4.88,4.93,4.93,4.88,4.95,4.88,4.8,28,365,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,1,1,2,2234.75,5,4.67,5,5,5,5,4.67,28,500,0.7
within an hour,f,t,Private room in guest suite,Private room,f,1,0.81,1,676.81,4.54,4.57,4.7,4.59,4.78,4.62,4.46,28,365,0.7
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.9,4,3384.05,4.5,4.5,4.67,4.67,4.5,4.67,4.5,28,1125,0.31
within a day,f,t,Entire rental unit,Entire home/apt,f,1,0,2,1085.45,4.7,4.8,4.7,4.8,4.9,4.8,4.7,31,365,0.7
within an hour,t,t,Private room in rental unit,Private room,t,1,1,2,766.2,4.88,4.82,4.76,4.88,4.94,4.73,4.82,28,60,0.7
within a day,f,t,Entire loft,Entire home/apt,f,0.5,0.9,1,944.98,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within an hour,t,t,Private room in home,Private room,f,1,1,4,1723.95,4.81,4.85,4.69,4.9,4.87,4.88,4.67,28,35,0.7
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,0.91,2,1085.45,4.6,4.7,4.4,4.8,5,4.8,4.4,28,365,0.54
within a few hours,f,t,Private room in home,Private room,t,1,1,2,651.27,4.83,5,5,5,5,4.67,5,28,365,0.3
within an hour,t,t,Entire condo,Entire home/apt,f,1,1,2,1787.8,5,5,5,5,5,5,5,28,365,0.37
Desconocido,f,t,Private room in condo,Private room,f,0.9,0.9,3,3000.95,4.92,4.88,4.83,4.82,4.94,5,4.88,28,365,0.7
within a few hours,f,t,Entire rental unit,Entire home/apt,t,0.76,0.97,6,1519.63,5,5,5,5,5,5,5,28,365,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,0.89,0,2,2107.05,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within a day,t,t,Entire condo,Entire home/apt,f,1,0.99,4,3818.23,4.94,4.99,4.95,4.78,4.95,4.98,4.92,28,365,0.7
Desconocido,f,t,Entire loft,Entire home/apt,f,0.9,0.9,2,1430.24,5,5,5,5,5,5,5,30,1125,0.7
within a day,t,t,Entire guest suite,Entire home/apt,f,1,1,2,1379.16,5,4.9,4.9,5,5,5,4.9,28,365,0.59
a few days or more,f,t,Private room in home,Private room,f,0,0.9,2,996.06,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within an hour,f,t,Entire guest suite,Entire home/apt,f,1,0.78,2,1404.7,3.92,4.31,3.77,4.54,4.31,4.38,3.77,28,60,0.69
Desconocido,f,t,Private room in guest suite,Private room,f,0.9,0.9,1,1915.5,5,5,5,5,5,5,5,30,365,0.7
a few days or more,f,t,Entire condo,Entire home/apt,f,0.42,0.16,2,1992.12,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,14,0.7
within a few hours,t,t,Entire rental unit,Entire home/apt,f,1,0.88,2,1085.45,5,5,5,5,5,5,4.8,28,365,0.36
within an hour,f,f,Entire condo,Entire home/apt,f,0.92,0.95,4,3601.14,4.43,4.67,4.57,3.48,4.57,4.81,4.1,28,1125,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,1,0.67,3,5478.33,4.75,5,4.75,4.75,5,4.75,4.5,28,300,0.24
within an hour,t,t,Private room in home,Private room,t,1,1,2,1532.4,4.96,4.98,4.98,4.95,4.96,4.96,4.87,28,8,0.7
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,0.99,4,2426.3,4.38,4.53,4.14,4.83,4.7,4.84,4.27,28,1125,0.7
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,2,1660.1,5,5,5,5,5,5,4.89,31,1125,0.51
within an hour,f,t,Entire condo,Entire home/apt,t,1,1,4,3831,4.86,5,4.71,4.71,4.86,5,4.86,28,365,0.54
within an hour,f,t,Private room in home,Private room,f,1,0.97,1,842.82,4.74,4.81,4.49,4.91,4.86,4.95,4.65,28,365,0.7
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,5,1149.3,5,5,5,5,5,4.5,5,30,365,0.7
within an hour,f,t,Private room in bed and breakfast,Private room,f,1,0.76,1,957.75,5,4.96,4.96,4.88,4.96,4.92,4.92,28,7,0.7
within an hour,t,t,Entire home,Entire home/apt,f,1,0.77,6,3447.9,4.88,4.75,4.88,5,5,5,4.75,28,365,0.49
Desconocido,t,t,Entire townhouse,Entire home/apt,t,0.9,0.89,6,1711.18,5,5,5,5,5,5,5,28,1125,0.33
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.95,6,3818.23,5,5,4.92,4.96,5,4.92,4.92,28,1125,0.7
Desconocido,f,t,Entire condo,Entire home/apt,t,0.9,0.9,2,3511.75,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within an hour,f,t,Entire condo,Entire home/apt,f,1,0.88,2,2439.07,4.95,4.85,4.9,5,5,4.95,4.9,28,60,1
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.5,2,1532.4,5,5,5,5,5,5,5,30,365,0.7
within an hour,f,t,Private room in rental unit,Private room,f,1,0.76,1,536.34,4,4,3,5,5,5,4,28,365,0.29
within an hour,t,t,Private room in home,Private room,f,1,1,2,1353.62,4.96,4.96,5,4.97,4.99,4.87,4.8,28,33,0.7
within an hour,f,t,Private room in rental unit,Private room,f,1,0.76,1,574.65,4.8,5,4.6,4.8,5,5,4.4,28,1125,0.48
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.75,2,1723.95,5,5,5,5,5,5,5,30,1125,0.22
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,0.86,2,12770,5,5,4.67,5,5,5,5,28,365,0.24
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.92,3,3971.47,4.94,4.98,4.94,4.98,5,4.98,4.84,28,30,0.7
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.5,1,523.57,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,31,0.7
within an hour,t,t,Entire bungalow,Entire home/apt,f,1,1,5,3345.74,4.92,4.94,4.86,4.96,4.9,4.69,4.88,28,15,0.7
within an hour,f,t,Private room in rental unit,Private room,f,1,0.98,2,676.81,4.56,4.72,4.78,4.83,4.89,4.78,4.39,31,31,1.12
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0,6,2554,5,5,5,5,5,5,5,28,360,0.7
within an hour,f,t,Private room in home,Private room,t,1,0.94,1,766.2,5,4.75,5,5,5,5,5,28,365,0.4
Desconocido,f,t,Entire home,Entire home/apt,t,0.9,1,6,6385,4.9,5,4.8,4.8,5,4.9,4.7,28,365,0.5
within a few hours,t,f,Entire rental unit,Entire home/apt,f,1,0.97,10,4009.78,4.83,4.92,4.88,4.88,4.88,4.58,4.67,28,250,0.7
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,1,2,1277,5,4.83,4.33,5,5,5,4.67,30,365,0.39
Desconocido,t,t,Entire guest suite,Entire home/apt,f,0.9,0.9,2,1915.5,5,5,5,5,5,5,4.67,28,60,0.24
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,0.99,2,830.05,5,5,5,5,5,5,5,31,200,0.64
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.9,4,1647.33,4.96,4.93,4.96,4.93,4.96,4.98,4.91,28,365,0.7
within an hour,Desconocido,t,Entire home,Entire home/apt,t,1,0.96,2,1391.93,4.5,4.5,4,5,4.83,5,4.33,28,365,0.34
within an hour,f,t,Entire condo,Entire home/apt,f,1,0.5,2,2988.18,4.92,4.92,4.85,4.92,4.92,5,4.85,28,40,0.67
Desconocido,f,t,Private room in home,Private room,t,0.9,1,2,510.8,5,5,5,5,5,5,5,28,240,0.58
within an hour,f,t,Entire home,Entire home/apt,f,0.98,0.96,4,2937.1,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within a few hours,t,t,Entire rental unit,Entire home/apt,f,0.9,0.8,1,791.74,4.43,4.57,4.14,4.71,4.57,4.57,4.29,28,365,0.42
within a few hours,t,t,Private room in home,Private room,f,1,0.94,1,1008.83,5,5,5,5,5,5,5,28,365,0.69
within a few hours,t,t,Private room in condo,Private room,f,1,0.74,1,485.26,4.75,4.75,4.83,4.83,4.83,4.67,4.75,28,365,0.61
within an hour,f,t,Private room in home,Private room,f,1,0.98,2,1149.3,4.65,4.83,4.96,5,4.78,4.43,4.7,28,365,0.7
Desconocido,t,t,Entire condo,Entire home/apt,f,0.9,1,6,4635.51,4.92,4.92,4.92,4.71,4.96,4.99,4.84,28,1125,0.7
Desconocido,f,t,Private room in home,Private room,t,0.9,1,4,2541.23,3,3,4,3,3,3,1,28,365,0.7
within an hour,f,t,Private room in home,Private room,f,1,1,1,612.96,4.83,4.67,4.33,4.83,4.83,4.67,4.5,28,365,0.33
Desconocido,f,t,Private room in home,Private room,f,0.9,0.9,2,1545.17,4.88,4.98,4.98,4.92,4.92,4.94,4.94,28,28,0.7
within a few hours,Desconocido,t,Entire townhouse,Entire home/apt,t,1,0.97,6,2554,4,5,4,4,4,5,4,28,200,0.7
within an hour,f,t,Private room in rental unit,Private room,f,1,0.97,1,1404.7,4.7,4.8,4.48,4.88,4.95,4.93,4.75,28,365,0.7
within an hour,t,t,Entire condo,Entire home/apt,t,1,0.97,6,5184.62,4.88,4.91,4.79,4.79,4.98,4.82,4.68,28,365,0.7
a few days or more,Desconocido,t,Entire rental unit,Entire home/apt,t,0.14,0.96,2,1008.83,5,5,5,5,4.67,5,4.67,28,90,0.51
within a day,f,t,Entire condo,Entire home/apt,f,1,0,2,3192.5,4.7,4.8,4.7,4.8,4.9,4.8,4.7,29,180,0.7
within a few hours,f,t,Private room in home,Private room,t,1,1,2,600.19,5,5,5,4.83,5,5,5,28,1125,0.33
within an hour,t,t,Private room in home,Private room,f,1,0.99,3,1149.3,4.91,4.9,4.97,5,4.98,4.91,4.86,28,28,0.7
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,2,996.06,4.86,4.86,4.57,5,5,4.86,4.86,28,365,0.37
within an hour,f,f,Entire condo,Entire home/apt,f,1,0,4,2298.6,4.7,4.8,4.7,4.8,4.9,4.8,4.7,30,365,0.7
within an hour,Desconocido,t,Entire home,Entire home/apt,f,1,0.95,2,1494.09,4.75,4.75,4.5,4.88,4.63,4.63,4.38,28,1125,0.45
within a day,t,t,Entire rental unit,Entire home/apt,f,0.5,0.57,3,1404.7,4.5,4.17,4.5,5,4.83,4.83,4.33,28,365,0.38
within a day,Desconocido,t,Private room in guest suite,Private room,f,1,0.93,2,1123.76,4.65,4.76,4.71,4.97,4.97,4.79,4.59,28,365,0.7
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1992.12,4.89,4.89,4.67,5,5,4.78,4.44,28,365,0.7
within an hour,t,t,Entire condo,Entire home/apt,f,0.96,0.98,7,6244.53,4.7,4.8,4.7,4.8,4.9,4.8,4.7,30,179,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,1,4,8032.33,4.67,4.56,4.67,4.78,5,5,4.67,28,1125,0.61
within a few hours,f,t,Entire condo,Entire home/apt,f,0.97,0.03,3,2030.43,4.7,4.8,4.7,4.8,4.9,4.8,4.7,30,1125,0.7
within a few hours,f,t,Entire place,Entire home/apt,t,1,1,6,1864.42,4.83,4.78,4.67,4.61,4.61,4.72,4.5,28,365,1.17
within an hour,f,t,Entire condo,Entire home/apt,f,1,0.99,4,3690.53,4.59,4.74,4.7,4.48,4.63,4.89,4.48,28,28,0.7
within an hour,Desconocido,t,Entire rental unit,Entire home/apt,f,1,0.96,2,2209.21,4.7,4.8,4.7,4.8,4.9,4.8,4.7,30,365,0.7
within an hour,f,t,Private room in home,Private room,f,1,1,4,2107.05,4.88,4.88,4.9,4.95,4.93,4.81,4.76,28,365,0.7
within an hour,f,t,Entire condo,Entire home/apt,f,1,1,6,6206.22,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within a day,t,t,Entire home,Entire home/apt,f,0.75,0.8,1,778.97,4.7,4.8,4.7,4.8,4.9,4.8,4.7,31,365,0.7
within a day,f,t,Private room in home,Private room,f,0.83,0.87,2,664.04,4.6,4.67,4.42,4.75,4.85,4.65,4.33,28,365,0.7
within an hour,f,t,Entire condo,Entire home/apt,f,1,0.7,2,2043.2,4.5,5,4.5,5,5,5,4.5,29,365,0.7
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,0.97,2,2490.15,4.8,4.7,4.85,4.75,4.9,4.8,4.45,28,1125,1.12
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.96,4,4150.25,4.98,5,4.93,4.93,5,5,4.84,28,30,0.7
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,0.83,2,957.75,4.75,4.8,4.55,4.85,4.75,4.4,4.65,28,90,1.02
within a day,f,t,Private room in home,Private room,f,0.83,0.87,2,766.2,4.84,4.91,4.74,4.84,4.81,4.72,4.77,28,1125,0.7
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.92,4,1660.1,4.8,4.82,4.8,4.86,4.8,4.59,4.55,28,365,0.7
Desconocido,f,f,Entire rental unit,Entire home/apt,f,0.9,0.9,2,2221.98,4.94,4.97,4.94,5,5,4.94,4.84,28,7,0.7
within an hour,t,t,Entire home,Entire home/apt,f,1,1,4,3498.98,4.95,4.95,5,4.98,5,4.85,4.8,28,28,0.7
